Category,ItemId,Plan,Super Category,Volume
Sub Category 3,Product 3380,Region 1,Category 2,2.33
Sub Category 3,Product 3366,Region 1,Category 2,42.67
Sub Category 3,Product 3376,Region 1,Category 2,0.17
Sub Category 3,Product 3382,Region 1,Category 2,41.56
Sub Category 3,Product 2536,Region 1,Category 2,2.67
Sub Category 3,Product 3373,Region 1,Category 2,60
Sub Category 3,Product 3375,Region 1,Category 2,8
Sub Category 3,Product 3377,Region 1,Category 2,0.03
Sub Category 3,Product 6316,Region 1,Category 2,34.67
Sub Category 3,Product 3381,Region 1,Category 2,340.44
Sub Category 3,Product 2528,Region 1,Category 2,33.33
Sub Category 3,Product 2529,Region 1,Category 2,4
Sub Category 3,Product 2524,Region 1,Category 2,82.67
Sub Category 3,Product 2526,Region 1,Category 2,5.33
Sub Category 3,Product 3367,Region 1,Category 2,7.33
Sub Category 3,Product 3566,Region 1,Category 2,16
Sub Category 3,Product 3708,Region 1,Category 2,3.73
Sub Category 3,Product 4158,Region 1,Category 2,3.73
Sub Category 3,Product 2257,Region 1,Category 2,4
Sub Category 3,Product 2256,Region 1,Category 2,6.67
Sub Category 3,Product 2258,Region 1,Category 2,1.87
Sub Category 3,Product 2255,Region 1,Category 2,4
Sub Category 3,Product 503,Region 1,Category 2,35.47
Sub Category 3,Product 3379,Region 1,Category 2,189.33
Sub Category 3,Product 677,Region 1,Category 2,0.08
Sub Category 3,Product 847,Region 1,Category 2,4
Sub Category 3,Product 849,Region 1,Category 2,7.93
Sub Category 3,Product 850,Region 1,Category 2,0.93
Sub Category 3,Product 848,Region 1,Category 2,7.93
Sub Category 3,Product 6731,Region 1,Category 2,0
Sub Category 3,Product 846,Region 1,Category 2,17.33
Sub Category 3,Product 3799,Region 1,Category 2,5.6
Sub Category 3,Product 902,Region 1,Category 2,65.33
Sub Category 3,Product 899,Region 1,Category 2,341.33
Sub Category 3,Product 4126,Region 1,Category 2,128
Sub Category 3,Product 900,Region 1,Category 2,4.2
Sub Category 3,Product 903,Region 1,Category 2,14.67
Sub Category 3,Product 904,Region 1,Category 2,22.67
Sub Category 3,Product 905,Region 1,Category 2,9.33
Sub Category 4,Product 2485,Region 1,Category 4,5
Sub Category 4,Product 2480,Region 1,Category 4,18.5
Sub Category 4,Product 2479,Region 1,Category 4,10.5
Sub Category 4,Product 7184,Region 1,Category 4,0.17
Sub Category 4,Product 1775,Region 1,Category 4,8.08
Sub Category 4,Product 1770,Region 1,Category 4,1
Sub Category 4,Product 1765,Region 1,Category 4,2
Sub Category 4,Product 1771,Region 1,Category 4,0.08
Sub Category 4,Product 1766,Region 1,Category 4,0.53
Sub Category 4,Product 507,Region 1,Category 4,2.25
Sub Category 4,Product 2801,Region 1,Category 4,3.5
Sub Category 4,Product 2806,Region 1,Category 4,19.67
Sub Category 4,Product 2811,Region 1,Category 4,98.5
Sub Category 4,Product 2062,Region 1,Category 4,0.67
Sub Category 4,Product 2071,Region 1,Category 4,22
Sub Category 4,Product 703,Region 1,Category 4,13.83
Sub Category 4,Product 1791,Region 1,Category 4,7
Sub Category 4,Product 1794,Region 1,Category 4,0.75
Sub Category 4,Product 1788,Region 1,Category 4,4.5
Sub Category 4,Product 1799,Region 1,Category 4,24.08
Sub Category 4,Product 1509,Region 1,Category 4,2
Sub Category 4,Product 1508,Region 1,Category 4,4.58
Sub Category 4,Product 257,Region 1,Category 4,21.5
Sub Category 4,Product 255,Region 1,Category 4,5
Sub Category 4,Product 249,Region 1,Category 4,0.17
Sub Category 4,Product 7761,Region 1,Category 4,5
Sub Category 4,Product 2352,Region 1,Category 4,1
Sub Category 5,Product 1776,Region 1,Category 4,11
Sub Category 5,Product 2805,Region 1,Category 4,12.58
Sub Category 5,Product 2066,Region 1,Category 4,5
Sub Category 5,Product 2044,Region 1,Category 4,1
Sub Category 5,Product 1778,Region 1,Category 4,16
Sub Category 5,Product 1780,Region 1,Category 4,6
Sub Category 5,Product 256,Region 1,Category 4,1.5
Sub Category 6,Product 2481,Region 1,Category 4,0.25
Sub Category 6,Product 2045,Region 1,Category 4,9.25
Sub Category 6,Product 2046,Region 1,Category 4,73.5
Sub Category 6,Product 2327,Region 1,Category 4,1.5
Sub Category 7,Product 531,Region 1,Category 1,0.93
Sub Category 8,Product 2505,Region 1,Category 2,21.5
Sub Category 8,Product 3241,Region 1,Category 2,552
Sub Category 8,Product 4251,Region 1,Category 2,415.33
Sub Category 8,Product 1598,Region 1,Category 2,2.33
Sub Category 8,Product 425,Region 1,Category 2,95.11
Sub Category 8,Product 426,Region 1,Category 2,6.07
Sub Category 8,Product 3422,Region 1,Category 2,102
Sub Category 8,Product 1185,Region 1,Category 2,217.93
Sub Category 8,Product 3643,Region 1,Category 2,31.73
Sub Category 8,Product 2268,Region 1,Category 2,20
Sub Category 8,Product 3612,Region 1,Category 2,60.67
Sub Category 8,Product 1018,Region 1,Category 2,129.33
Sub Category 8,Product 1290,Region 1,Category 2,192
Sub Category 8,Product 1294,Region 1,Category 2,110.67
Sub Category 8,Product 1028,Region 1,Category 2,38.67
Sub Category 8,Product 4368,Region 1,Category 2,257.33
Sub Category 8,Product 1288,Region 1,Category 2,73.33
Sub Category 8,Product 1016,Region 1,Category 2,278
Sub Category 8,Product 1287,Region 1,Category 2,29.33
Sub Category 8,Product 1286,Region 1,Category 2,148
Sub Category 8,Product 3709,Region 1,Category 2,165.33
Sub Category 8,Product 3710,Region 1,Category 2,158.67
Sub Category 8,Product 4225,Region 1,Category 2,14.67
Sub Category 8,Product 7240,Region 1,Category 2,44
Sub Category 8,Product 1030,Region 1,Category 2,1.07
Sub Category 8,Product 1019,Region 1,Category 2,7.44
Sub Category 8,Product 1292,Region 1,Category 2,225.25
Sub Category 8,Product 1289,Region 1,Category 2,340.89
Sub Category 8,Product 1295,Region 1,Category 2,31.33
Sub Category 8,Product 1021,Region 1,Category 2,6770.22
Sub Category 8,Product 1009,Region 1,Category 2,550.67
Sub Category 8,Product 1024,Region 1,Category 2,1920.17
Sub Category 8,Product 3299,Region 1,Category 2,84.93
Sub Category 8,Product 2544,Region 1,Category 2,2.41
Sub Category 8,Product 2533,Region 1,Category 2,134
Sub Category 8,Product 2462,Region 1,Category 2,47.67
Sub Category 8,Product 229,Region 1,Category 2,5
Sub Category 8,Product 3700,Region 1,Category 2,16
Sub Category 8,Product 467,Region 1,Category 2,267.33
